序号,用户ID,用户画像特征,消费与商品记录,耗材复购与健康,对比与建议,时间
0,1001,65㎡公寓 | 单身 | 养猫(英短),主粮:皇家幼猫K36(2kg) | 零食:冻干鸡肉粒 | 用品:猫抓板,猫砂:里兜豆腐猫砂(剩余15天量) | 维生素:需补充,优于70%同面积养猫用户(复购及时),2025-01
17,1008,100㎡三居 | 三口之家 | 养猫(美短),主粮:皇家K36(4kg) | 用品:半封闭猫砂盆 | 药品:驱虫,猫砂:豆腐猫砂(可冲厕) | 除臭:已优化,家庭用户中猫砂体验好评率上升,2025-02
18,1009,80㎡两居 | 养宠 | 兔子,主食:提摩西草 | 用品:跑轮 | 玩具:球,耗材:磨牙石(需购买) | 玩具:需更新,异宠用户中磨牙用品复购及时,2025-02
19,1010,130㎡四居 | 三代同堂 | 多猫家庭(3只),主粮:网易严选(12kg) | 用品:多层猫爬架 | 卫生:吸尘器滤网,猫砂:混合猫砂(结团差) | 卫生:需更换,大户型多猫家庭中猫砂满意度下降,2025-02
20,1001,65㎡公寓 | 单身 | 养猫(英短),主粮:皇家幼猫K36(2kg) | 零食:冻干鹌鹑 | 用品:指甲剪,猫砂:里兜豆腐猫砂(剩余20天量) | 维生素:持续补充,优于75%同面积养猫用户,2025-03
21,1002,70㎡公寓 | 情侣 | 养狗(泰迪),主粮:冠能小型犬(3kg) | 用品:宠物背包 | 零食:饼干,驱虫:福来恩(已购买) | 驱虫:已补齐,狗粮复购频率与同类持平,2025-03
22,1003,90㎡三居 | 1狗1猫 | 混合家庭,主粮:冠能+皇家 | 用品:宠物推车 | 药品:驱虫组合,猫砂:松木猫砂(粉尘多) | 卫生:需优化,多宠家庭中出行用品消费增长,2025-03
23,1004,85㎡两居 | 2猫 | 布偶/暹罗,主粮:渴望鸡肉(5.4kg) | 用品:自动喂食器 | 玩具:猫爬架,耗材:主刷(需清理) | 化毛膏:已购买,高端粮消费占比前8%,2025-03
24,1005,120㎡别墅 | 老人 | 养鸟(鹦鹉),主食:滋养丸 | 用品:鸟笼清洁刷 | 保健:维生素,药品:驱虫药 | 保健:持续使用,老年宠物主对清洁工具需求增加,2025-03
25,1006,150㎡别墅 | 儿童 | 养大型犬(金毛),主粮:冠能大型犬(15kg) | 用品:宠物泳池 | 洗护:护毛素,玩具:飞盘(新购) | 洗护:需补货,大户型中户外玩具复购率高,2025-03
26,1007,55㎡一居 | 独居 | 养鱼(水族箱),饲料:丰年虾 | 用品:造景石 | 设备:杀菌灯,耗材:UV灯管(需更换) | 设备:已维护,水族用户造景消费占比提升,2025-03
27,1008,100㎡三居 | 三口之家 | 养猫(美短),主粮:皇家K36(4kg) | 用品:半封闭猫砂盆 | 药品:驱虫,猫砂:膨润土(结团好) | 除臭:需加强,家庭用户中药品合规率100%,2025-03
28,1009,80㎡两居 | 养宠 | 兔子,主食:提摩西草 | 用品:草架 | 玩具:隧道,耗材:跑轮轴承(需润滑) | 玩具:已更新,异宠用户中草架复购及时,2025-03
29,1010,130㎡四居 | 三代同堂 | 多猫家庭(3只),主粮:网易严选(12kg) | 用品:多层猫爬架 | 卫生:吸尘器维修,猫砂:豆腐猫砂(无粉尘) | 卫生:已优化,大户型多猫家庭中吸尘器使用率提升,2025-03
30,1001,65㎡公寓 | 单身 | 养猫(英短),主粮:皇家幼猫K36(2kg) | 零食:冻干蛋黄 | 用品:逗猫棒,猫砂:里兜豆腐猫砂(剩余25天量) | 维生素:持续使用,优于80%同面积养猫用户(养宠专业度高),2025-04
31,1002,70㎡公寓 | 情侣 | 养狗(泰迪),主粮:冠能小型犬(3kg) | 用品:宠物摄影 | 零食:生日蛋糕,驱虫:福来恩(剩余60天) | 礼品:已购买,狗粮复购频率优于同类10%,2025-04
32,1003,90㎡三居 | 1狗1猫 | 混合家庭,主粮:冠能+皇家 | 用品:宠物推车 | 药品:体检套餐,猫砂:混合猫砂(剩余10天) | 健康:需关注,多宠家庭中体检意识觉醒,2025-04
33,1004,85㎡两居 | 2猫 | 布偶/暹罗,主粮:渴望鸡肉(5.4kg) | 用品:自动喂食器 | 玩具:猫爬架,耗材:滤网(已更换) | 化毛膏:持续购买,高端粮消费占比前5%,2025-04
34,1005,120㎡别墅 | 老人 | 养鸟(鹦鹉),主食:滋养丸 | 用品:鸟笼 | 保健:综合维生素,药品:呼吸道药 | 保健:深度使用,老年宠物主对鸟笼清洁度要求高,2025-04
35,1006,150㎡别墅 | 儿童 | 养大型犬(金毛),主粮:冠能大型犬(15kg) | 用品:宠物泳池 | 洗护:深层清洁,玩具:漏食球(新购) | 洗护:需补货,大户型中宠物美容消费增长,2025-04
36,1007,55㎡一居 | 独居 | 养鱼(水族箱),饲料:冷冻血虫 | 用品:过滤桶 | 设备:造浪泵,耗材:滤材(需清洗) | 设备:已维护,水族用户活饵消费占比提升,2025-04
37,1008,100㎡三居 | 三口之家 | 养猫(美短),主粮:皇家K36(4kg) | 用品:半封闭猫砂盆 | 药品:驱虫,猫砂:膨润土(除臭强) | 除臭:已解决,家庭用户中猫砂满意度满分,2025-04
38,1009,80㎡两居 | 养宠 | 兔子,主食:提摩西草 | 用品:跑轮 | 玩具:草球,耗材:磨牙石(已购买) | 玩具:丰富度高,异宠用户中兔子幸福感指数高,2025-04
39,1010,130㎡四居 | 三代同堂 | 多猫家庭(3只),主粮:网易严选(12kg) | 用品:多层猫爬架 | 卫生:吸尘器滤网,猫砂:混合猫砂(结团好) | 卫生:持续优化,大户型多猫家庭中用品齐全度提升,2025-04
40,1001,65㎡公寓 | 单身 | 养猫(英短),主粮:皇家成猫(2kg) | 零食:冻干三文鱼 | 用品:猫爬架,猫砂:里兜豆腐猫砂(剩余30天量) | 维生素:持续补充,优于85%同面积养猫用户,2025-05
41,1002,70㎡公寓 | 情侣 | 养狗(泰迪),主粮:冠能小型犬(3kg) | 用品:宠物背包 | 零食:磨牙棒,驱虫:福来恩(剩余45天) | 驱虫:定期使用,狗粮复购频率稳定,2025-05
42,1003,90㎡三居 | 1狗1猫 | 混合家庭,主粮:冠能+皇家 | 用品:宠物推车 | 药品:驱虫组合,猫砂:松木猫砂(粉尘少) | 卫生:持续优化,多宠家庭中猫砂体验升级,2025-05
43,1004,85㎡两居 | 2猫 | 布偶/暹罗,主粮:渴望鸡肉(5.4kg) | 用品:自动喂食器 | 玩具:猫隧道,耗材:主刷(需清理) | 化毛膏:已购买,高端粮消费占比前3%,2025-05
44,1005,120㎡别墅 | 老人 | 养鸟(鹦鹉),主食:滋养丸 | 用品:鸟笼 | 保健:羽毛粉,药品:驱虫药 | 保健:持续使用,老年宠物主对鸟儿陪伴需求高,2025-05
45,1006,150㎡别墅 | 儿童 | 养大型犬(金毛),主粮:冠能大型犬(15kg) | 用品:宠物泳池 | 洗护:去味喷雾,玩具:咬胶(新购) | 洗护:需补货,大户型中宠物玩具消耗快,2025-05
46,1007,55㎡一居 | 独居 | 养鱼(水族箱),饲料:人工饵料 | 用品:过滤棉 | 设备:加热棒,耗材:水质稳定剂(需购买) | 设备:正常,水族用户水质维护意识强,2025-05
47,1008,100㎡三居 | 三口之家 | 养猫(美短),主粮:皇家K36(4kg) | 用品:半封闭猫砂盆 | 药品:驱虫,猫砂:豆腐猫砂(无味) | 除臭:已解决,家庭用户中猫砂复购及时,2025-05
48,1009,80㎡两居 | 养宠 | 兔子,主食:提摩西草 | 用品:跑轮 | 玩具:隧道,耗材:草架(需更换) | 玩具:需更新,异宠用户中草架复购周期到,2025-05
49,1010,130㎡四居 | 三代同堂 | 多猫家庭(3只),主粮:网易严选(12kg) | 用品:多层猫爬架 | 卫生:吸尘器维修,猫砂:豆腐猫砂(可冲厕) | 卫生:持续优化,大户型多猫家庭中卫生管理提升,2025-05
50,1001,65㎡公寓 | 单身 | 养猫(英短),主粮:皇家成猫(2kg) | 零食:猫条(24包) | 用品:猫包,猫砂:里兜豆腐猫砂(剩余10天量) | 维生素:需补充,优于70%同面积养猫用户,2025-06
51,1002,70㎡公寓 | 情侣 | 养狗(泰迪),主粮:冠能小型犬(3kg) | 用品:宠物推车 | 零食:肉干,驱虫:福来恩(已过期) | 驱虫:需补买,狗粮复购频率低于同类用户20%,2025-06
52,1003,90㎡三居 | 1狗1猫 | 混合家庭,主粮:冠能+皇家 | 用品:宠物摄像头 | 药品:益生菌,猫砂:混合猫砂(剩余5天) | 益生菌:已购买,多宠家庭中应急药品储备意识提升,2025-06
53,1004,85㎡两居 | 2猫 | 布偶/暹罗,主粮:渴望鸡肉(5.4kg) | 用品:自动喂食器 | 玩具:猫爬架,耗材:HEPA滤网(需更换) | 化毛膏:未购买,高端粮消费占比前10%,2025-06
54,1005,120㎡别墅 | 老人 | 养鸟(鹦鹉),主食:滋养丸 | 用品:站架 | 保健:钙粉,药品:眼药水 | 保健:需补充,老年宠物主对鸟儿视力关注
